x,y,target
-0.393796262,1.751313142,0
-0.579594743,0.963304807,0
-1.855959571,-0.225825376,0
-0.125764385,-1.216724717,0
-0.46492253,-0.964398494,0
-0.251491603,-1.741954685,0
-1.086434833,0.120861349,0
-0.568080208,-1.335291844,0
-1.446271686,0.492553726,0
-1.233070182,0.703768356,0
-1.431209976,-0.432177533,0
-0.546340866,-0.934826093,0
-0.213997722,1.4638941,0
-0.597170626,-1.365494159,0
-1.56783904,-0.687496636,0
-0.048531579,1.833640753,0
-1.765273446,-0.803318608,0
-0.454250178,1.81358505,0
-1.872156428,0.357605688,0
-0.734747082,-1.641345553,0
-0.30681502,1.426278758,0
-0.951205313,-0.402423124,0
-1.23658009,0.017433593,0
-0.754410428,1.285884498,0
-1.564332261,-0.025252097,0
-1.120861852,0.828656921,0
-1.080587108,-0.784406353,0
-1.279179625,-0.151519653,0
-0.74095605,-1.741059703,0
-0.28930891,1.844299652,0
-1.788665312,-0.632608131,0
-0.404494965,1.536783584,0
-1.457643205,-0.835310438,0
-1.684885221,-0.344893464,0
-0.452243464,-1.335854285,0
-1.306264736,-1.22085973,0
-1.440606916,-0.791576199,0
-0.686395388,-1.221945027,0
-0.703180586,1.630972841,0
-0.996569262,1.057305622,0
-1.806676176,-0.485091831,0
-0.984459072,0.219034444,0
-1.849363106,-0.222716333,0
-1.406467478,0.510720638,0
-0.171750895,1.462389874,0
-1.732620657,0.933909232,0
-1.407952258,1.365383464,0
-1.086725866,0.340829762,0
-1.218579709,-0.324918156,0
-1.496244094,0.832828886,0
-0.091212797,1.176761461,0
-0.176921864,-1.220076836,0
-1.121628605,0.650297253,0
-0.644144456,1.052889156,0
-0.760078186,1.268789886,0
-0.936850827,1.414648852,0
-1.057089988,-1.373212721,0
-0.708485362,-1.042808268,0
-0.489721959,1.546719064,0
-1.093693501,1.61272537,0
-1.604170827,-0.312197741,0
-1.46495001,-1.027845967,0
-1.621424973,-0.827303433,0
-1.381317456,1.372213636,0
-0.685218062,-1.078429388,0
-0.627242935,-0.925119053,0
-1.006363396,-1.469102133,0
-0.737226484,0.718743221,0
-1.950559151,-0.23341704,0
-0.281406329,1.812052582,0
-1.177151272,-1.165442434,0
-0.716360736,1.587296285,0
-0.916727788,-0.9088957,0
-0.026519718,-1.94022353,0
